i_connect_no,i_site_code,i_unit_num,i_giku_num,c_tag_no,c_tag_desc,c_category1,c_category2,c_category3,d_disp_range_lower,d_disp_range_upper,c_unit,i_decimal_place,i_signal_type,c_unit2,d_cnv1,d_cnv2,i_cdbi,c_point_id,c_retu text,i_off_set,i_kind_num,i_auto_flag,d_dead_band,i_xid bigint
1,1,2,0,SB_SPARE_3881,SPARE_3881,,0,,0,1,,0,1,,1,1,3881,SB_010200010000003881,data80,0,1,1,0,3881
1,1,2,0,SB_SPARE_3882,SPARE_3882,,0,,0,1,,0,1,,1,1,3882,SB_010200010000003882,data81,0,1,1,0,3882
1,1,2,0,SB_SPARE_3883,SPARE_3883,,0,,0,1,,0,1,,1,1,3883,SB_010200010000003883,data82,0,1,1,0,3883
1,1,2,0,SB_SPARE_3884,SPARE_3884,,0,,0,1,,0,1,,1,1,3884,SB_010200010000003884,data83,0,1,1,0,3884
1,1,2,0,SB_SPARE_3885,SPARE_3885,,0,,0,1,,0,1,,1,1,3885,SB_010200010000003885,data84,0,1,1,0,3885
1,1,2,0,SB_SPARE_3886,SPARE_3886,,0,,0,1,,0,1,,1,1,3886,SB_010200010000003886,data85,0,1,1,0,3886
1,1,2,0,SB_SPARE_3887,SPARE_3887,,0,,0,1,,0,1,,1,1,3887,SB_010200010000003887,data86,0,1,1,0,3887
1,1,2,0,SB_SPARE_3888,SPARE_3888,,0,,0,1,,0,1,,1,1,3888,SB_010200010000003888,data87,0,1,1,0,3888
1,1,2,0,SB_SPARE_3889,SPARE_3889,,0,,0,1,,0,1,,1,1,3889,SB_010200010000003889,data88,0,1,1,0,3889
1,1,2,0,SB_SPARE_3890,SPARE_3890,,0,,0,1,,0,1,,1,1,3890,SB_010200010000003890,data89,0,1,1,0,3890
1,1,2,0,SB_SPARE_3891,SPARE_3891,,0,,0,1,,0,1,,1,1,3891,SB_010200010000003891,data90,0,1,1,0,3891
1,1,2,0,SB_SPARE_3892,SPARE_3892,,0,,0,1,,0,1,,1,1,3892,SB_010200010000003892,data91,0,1,1,0,3892
1,1,2,0,SB_SPARE_3893,SPARE_3893,,0,,0,1,,0,1,,1,1,3893,SB_010200010000003893,data92,0,1,1,0,3893
1,1,2,0,SB_SPARE_3894,SPARE_3894,,0,,0,1,,0,1,,1,1,3894,SB_010200010000003894,data93,0,1,1,0,3894
1,1,2,0,SB_SPARE_3895,SPARE_3895,,0,,0,1,,0,1,,1,1,3895,SB_010200010000003895,data94,0,1,1,0,3895
1,1,2,0,SB_SPARE_3896,SPARE_3896,,0,,0,1,,0,1,,1,1,3896,SB_010200010000003896,data95,0,1,1,0,3896
1,1,2,0,SB_SPARE_3897,SPARE_3897,,0,,0,1,,0,1,,1,1,3897,SB_010200010000003897,data96,0,1,1,0,3897
1,1,2,0,SB_SPARE_3898,SPARE_3898,,0,,0,1,,0,1,,1,1,3898,SB_010200010000003898,data97,0,1,1,0,3898
1,1,2,0,SB_SPARE_3899,SPARE_3899,,0,,0,1,,0,1,,1,1,3899,SB_010200010000003899,data98,0,1,1,0,3899
1,1,2,0,SB_SPARE_3900,SPARE_3900,,0,,0,1,,0,1,,1,1,3900,SB_010200010000003900,data99,0,1,1,0,3900
1,1,2,0,SB_SPARE_3901,SPARE_3901,,0,,0,1,,0,1,,1,1,3901,SB_010200010000003901,data0,0,1,1,0,3901
1,1,2,0,SB_SPARE_3902,SPARE_3902,,0,,0,1,,0,1,,1,1,3902,SB_010200010000003902,data1,0,1,1,0,3902
1,1,2,0,SB_SPARE_3903,SPARE_3903,,0,,0,1,,0,1,,1,1,3903,SB_010200010000003903,data2,0,1,1,0,3903
1,1,2,0,SB_SPARE_3904,SPARE_3904,,0,,0,1,,0,1,,1,1,3904,SB_010200010000003904,data3,0,1,1,0,3904
1,1,2,0,SB_SPARE_3905,SPARE_3905,,0,,0,1,,0,1,,1,1,3905,SB_010200010000003905,data4,0,1,1,0,3905
1,1,2,0,SB_SPARE_3906,SPARE_3906,,0,,0,1,,0,1,,1,1,3906,SB_010200010000003906,data5,0,1,1,0,3906
1,1,2,0,SB_SPARE_3907,SPARE_3907,,0,,0,1,,0,1,,1,1,3907,SB_010200010000003907,data6,0,1,1,0,3907
1,1,2,0,SB_SPARE_3908,SPARE_3908,,0,,0,1,,0,1,,1,1,3908,SB_010200010000003908,data7,0,1,1,0,3908
1,1,2,0,SB_SPARE_3909,SPARE_3909,,0,,0,1,,0,1,,1,1,3909,SB_010200010000003909,data8,0,1,1,0,3909
1,1,2,0,SB_SPARE_3910,SPARE_3910,,0,,0,1,,0,1,,1,1,3910,SB_010200010000003910,data9,0,1,1,0,3910
