No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
878,SB_010200000000000878,SB_30BMB00GS100XQ17.PV,400V ESS SWGR BUS-B VLT U-V,DOUBLE,,,0,500,30BMB00GS100XQ17,0,.PV,30BMB00GS100XQ17,,30BMB00GS100XQ17,0,30BMB00GS100XQ17
879,SB_010200000000000879,SB_30BMB00GS100XQ17-OUT.PV,400V ESS SWGR BUS-B VLT U-V,DOUBLE,V,,0,500,30BMB00GS100XQ17-OUT,1,.PV,30BMB00GS100XQ17-OUT,-OUT,30BMB00GS100XQ17-OUT,1,30BMB00GS100XQ17-OUT
880,SB_010200000000000880,SB_30BRA10CE002XQ14.PV,UPS DB BUS VLT,DOUBLE,,,0,300,30BRA10CE002XQ14,0,.PV,30BRA10CE002XQ14,,30BRA10CE002XQ14,0,30BRA10CE002XQ14
881,SB_010200000000000881,SB_30BRA10CE002XQ14-OUT.PV,UPS DB BUS VLT,DOUBLE,,,0,500,30BRA10CE002XQ14-OUT,1,.PV,30BRA10CE002XQ14-OUT,-OUT,30BRA10CE002XQ14-OUT,1,30BRA10CE002XQ14-OUT
882,SB_010200000000000882,SB_30BRV10AG001-POS.PV,400V ESS SWGR   EDG CB POS,DOUBLE,,,0,100,30BRV10AG001-POS,1,.PV,30BRV10AG001-POS,-POS,30BRV10AG001-POS,-1,30BRV10AG001-POS
883,SB_010200000000000883,SB_30BRV10CS001-OUT.PV,EDG FREQ,DOUBLE,Hz,,45,55,30BRV10CS001-OUT,0,.PV,30BRV10CS001-OUT,-OUT,30BRV10CS001-OUT,0,30BRV10CS001-OUT
884,SB_010200000000000884,SB_30BRV10GH010-POS.PV,EDG             POS,DOUBLE,,,0,100,30BRV10GH010-POS,1,.PV,30BRV10GH010-POS,-POS,30BRV10GH010-POS,-1,30BRV10GH010-POS
885,SB_010200000000000885,SB_30BRV10GH010XQ09.PV,EDG CUR V-PH,DOUBLE,,,0,100,30BRV10GH010XQ09,0,.PV,30BRV10GH010XQ09,,30BRV10GH010XQ09,0,30BRV10GH010XQ09
886,SB_010200000000000886,SB_30BRV10GH010XQ09-OUT.PV,EDG CUR V-PH,DOUBLE,A,,0,1250,30BRV10GH010XQ09-OUT,1,.PV,30BRV10GH010XQ09-OUT,-OUT,30BRV10GH010XQ09-OUT,1,30BRV10GH010XQ09-OUT
887,SB_010200000000000887,SB_30BRV10GH010XQ14.PV,EDG VLT U-V,DOUBLE,,,0,100,30BRV10GH010XQ14,0,.PV,30BRV10GH010XQ14,,30BRV10GH010XQ14,0,30BRV10GH010XQ14
888,SB_010200000000000888,SB_30BRV10GH010XQ14-OUT.PV,EDG VLT U-V,DOUBLE,V,,0,500,30BRV10GH010XQ14-OUT,1,.PV,30BRV10GH010XQ14-OUT,-OUT,30BRV10GH010XQ14-OUT,1,30BRV10GH010XQ14-OUT
889,SB_010200000000000889,SB_30BRV10GH010XQ20.PV,EDG ACTIVE PWR,DOUBLE,,,0,100,30BRV10GH010XQ20,0,.PV,30BRV10GH010XQ20,,30BRV10GH010XQ20,0,30BRV10GH010XQ20
890,SB_010200000000000890,SB_30BRV10GH010XQ20-OUT.PV,EDG ACTIVE PWR,DOUBLE,kW,,0,682,30BRV10GH010XQ20-OUT,1,.PV,30BRV10GH010XQ20-OUT,-OUT,30BRV10GH010XQ20-OUT,1,30BRV10GH010XQ20-OUT
891,SB_010200000000000891,SB_30BRV10GH010XQ21.PV,EDG REACTIVE PWR,DOUBLE,,,0,100,30BRV10GH010XQ21,0,.PV,30BRV10GH010XQ21,,30BRV10GH010XQ21,0,30BRV10GH010XQ21
892,SB_010200000000000892,SB_30BRV10GH010XQ21-OUT.PV,EDG REACTIVE PWR,DOUBLE,kVar,,0,682,30BRV10GH010XQ21-OUT,1,.PV,30BRV10GH010XQ21-OUT,-OUT,30BRV10GH010XQ21-OUT,1,30BRV10GH010XQ21-OUT
893,SB_010200000000000893,SB_30BRV10GH010XQ22.PV,EDG FREQ,DOUBLE,,,0,100,30BRV10GH010XQ22,0,.PV,30BRV10GH010XQ22,,30BRV10GH010XQ22,0,30BRV10GH010XQ22
894,SB_010200000000000894,SB_30BRV10GH010XQ22-OUT.PV,EDG FREQ,DOUBLE,Hz,,45,55,30BRV10GH010XQ22-OUT,1,.PV,30BRV10GH010XQ22-OUT,-OUT,30BRV10GH010XQ22-OUT,1,30BRV10GH010XQ22-OUT
895,SB_010200000000000895,SB_30BUA10CE002XQ14.PV,DCDB BUS-1 VLT,DOUBLE,,,0,300,30BUA10CE002XQ14,0,.PV,30BUA10CE002XQ14,,30BUA10CE002XQ14,0,30BUA10CE002XQ14
896,SB_010200000000000896,SB_30BUA10CE002XQ14-OUT.PV,DCDB BUS-A VLT,DOUBLE,V,,0,300,30BUA10CE002XQ14-OUT,1,.PV,30BUA10CE002XQ14-OUT,-OUT,30BUA10CE002XQ14-OUT,1,30BUA10CE002XQ14-OUT
897,SB_010200000000000897,SB_30BUB10CE002XQ17.PV,DCDB BUS-2 VLT,DOUBLE,,,0,300,30BUB10CE002XQ17,0,.PV,30BUB10CE002XQ17,,30BUB10CE002XQ17,0,30BUB10CE002XQ17
898,SB_010200000000000898,SB_30BUB10CE002XQ17-OUT.PV,DCDB BUS-B VLT,DOUBLE,,,0,300,30BUB10CE002XQ17-OUT,1,.PV,30BUB10CE002XQ17-OUT,-OUT,30BUB10CE002XQ17-OUT,1,30BUB10CE002XQ17-OUT
899,SB_010200000000000899,SB_30CBP01GH321XQ50.PV,GEN ACTIVE MW A,DOUBLE,,,0,100,30CBP01GH321XQ50,1,.PV,30CBP01GH321XQ50,,30CBP01GH321XQ50,-1,30CBP01GH321XQ50
900,SB_010200000000000900,SB_30CBP01GH322XQ50.PV,GEN ACTIVE MW B,DOUBLE,,,0,100,30CBP01GH322XQ50,1,.PV,30CBP01GH322XQ50,,30CBP01GH322XQ50,-1,30CBP01GH322XQ50
901,SB_010200000000000901,SB_30CBP01GH331XQ50.PV,FREQUENCY A,DOUBLE,,,0,100,30CBP01GH331XQ50,1,.PV,30CBP01GH331XQ50,,30CBP01GH331XQ50,-1,30CBP01GH331XQ50
902,SB_010200000000000902,SB_30CBP01GH332XQ50.PV,FREQUENCY B,DOUBLE,,,0,100,30CBP01GH332XQ50,1,.PV,30CBP01GH332XQ50,,30CBP01GH332XQ50,-1,30CBP01GH332XQ50
903,SB_010200000000000903,SB_30CGY10EA001XQ01.PV,FIRE FIGHTING WTR TK LVL,DOUBLE,,,0,15000,30CGY10EA001XQ01,0,.PV,30CGY10EA001XQ01,,30CGY10EA001XQ01,0,30CGY10EA001XQ01
904,SB_010200000000000904,SB_30CGY10EA001XQ01-OUT.PV,FIRE FIGHTING WTR TK LVL,DOUBLE,mm,,0,15000,30CGY10EA001XQ01-OUT,1,.PV,30CGY10EA001XQ01-OUT,-OUT,30CGY10EA001XQ01-OUT,1,30CGY10EA001XQ01-OUT
905,SB_010200000000000905,SB_30CNA10CQ001XQ01.PV,FLUE GAS NOX(6%O2),DOUBLE,,,0,100,30CNA10CQ001XQ01,1,.PV,30CNA10CQ001XQ01,,30CNA10CQ001XQ01,-1,30CNA10CQ001XQ01
906,SB_010200000000000906,SB_30CNA10CQ001XQ02.PV,FLUE GAS SO2(6%O2),DOUBLE,,,0,100,30CNA10CQ001XQ02,1,.PV,30CNA10CQ001XQ02,,30CNA10CQ001XQ02,-1,30CNA10CQ001XQ02
907,SB_010200000000000907,SB_30CNA10CQ002XQ01.PV,FLUE GAS O2,DOUBLE,,,0,100,30CNA10CQ002XQ01,1,.PV,30CNA10CQ002XQ01,,30CNA10CQ002XQ01,-1,30CNA10CQ002XQ01
908,SB_010200000000000908,SB_30CNA10CQ003XQ01.PV,FLUE GAS DUST(6%O2),DOUBLE,,,0,100,30CNA10CQ003XQ01,1,.PV,30CNA10CQ003XQ01,,30CNA10CQ003XQ01,-1,30CNA10CQ003XQ01
909,SB_010200000000000909,SB_30CNA10CQ003XQ02.PV,FLUE GAS OPACITY,DOUBLE,,,0,100,30CNA10CQ003XQ02,1,.PV,30CNA10CQ003XQ02,,30CNA10CQ003XQ02,-1,30CNA10CQ003XQ02
910,SB_010200000000000910,SB_30CNA10CQ004XQ01.PV,FLUE GAS FLOW,DOUBLE,,,0,100,30CNA10CQ004XQ01,1,.PV,30CNA10CQ004XQ01,,30CNA10CQ004XQ01,-1,30CNA10CQ004XQ01
911,SB_010200000000000911,SB_30CNA10CQ005XQ01.PV,FLUE GAS TEMP,DOUBLE,,,0,100,30CNA10CQ005XQ01,1,.PV,30CNA10CQ005XQ01,,30CNA10CQ005XQ01,-1,30CNA10CQ005XQ01
912,SB_010200000000000912,SB_30CNA10CQ006XQ01.PV,FLUE GAS CO(6%O2),DOUBLE,,,0,100,30CNA10CQ006XQ01,1,.PV,30CNA10CQ006XQ01,,30CNA10CQ006XQ01,-1,30CNA10CQ006XQ01
913,SB_010200000000000913,SB_30EGA40CF002XQ01.PV,FUEL OIL UNLOADING FLOW,DOUBLE,,,0,100,30EGA40CF002XQ01,1,.PV,30EGA40CF002XQ01,,30EGA40CF002XQ01,-1,30EGA40CF002XQ01
914,SB_010200000000000914,SB_30EGC60CP501XQ01.PV,FO FWD PMP HDR PRS,DOUBLE,,,0,100,30EGC60CP501XQ01,1,.PV,30EGC60CP501XQ01,,30EGC60CP501XQ01,-1,30EGC60CP501XQ01
915,SB_010200000000000915,SB_30GBK11AP001-POS.PV,SWP A POS,DOUBLE,,,0,100,30GBK11AP001-POS,1,.PV,30GBK11AP001-POS,-POS,30GBK11AP001-POS,-1,30GBK11AP001-POS
916,SB_010200000000000916,SB_30GBK12AP001-POS.PV,SWP B POS,DOUBLE,,,0,100,30GBK12AP001-POS,1,.PV,30GBK12AP001-POS,-POS,30GBK12AP001-POS,-1,30GBK12AP001-POS
917,SB_010200000000000917,SB_30GBK30CP001XQ01.PV,SWP DSCH HDR PRS,DOUBLE,,,0,15,30GBK30CP001XQ01,0,.PV,30GBK30CP001XQ01,,30GBK30CP001XQ01,0,30GBK30CP001XQ01
918,SB_010200000000000918,SB_30GBK30CP001XQ01-OUT.PV,SWP DSCH HDR PRS,DOUBLE,bar G,,0,15,30GBK30CP001XQ01-OUT,1,.PV,30GBK30CP001XQ01-OUT,-OUT,30GBK30CP001XQ01-OUT,1,30GBK30CP001XQ01-OUT
919,SB_010200000000000919,SB_30GBL10CL001XQ01.PV,SVCE WTR TK-1 LVL,DOUBLE,,,0,10500,30GBL10CL001XQ01,0,.PV,30GBL10CL001XQ01,,30GBL10CL001XQ01,0,30GBL10CL001XQ01
920,SB_010200000000000920,SB_30GBL10CL001XQ01-OUT.PV,SVCE WTR TK-1 LVL,DOUBLE,mm,,0,10500,30GBL10CL001XQ01-OUT,1,.PV,30GBL10CL001XQ01-OUT,-OUT,30GBL10CL001XQ01-OUT,1,30GBL10CL001XQ01-OUT
921,SB_010200000000000921,SB_30GBL11CL001XQ01.PV,SVCE WTR TK-2 LVL,DOUBLE,,,0,10500,30GBL11CL001XQ01,0,.PV,30GBL11CL001XQ01,,30GBL11CL001XQ01,0,30GBL11CL001XQ01
922,SB_010200000000000922,SB_30GBL11CL001XQ01-OUT.PV,SVCE WTR TK-2 LVL,DOUBLE,mm,,0,10500,30GBL11CL001XQ01-OUT,1,.PV,30GBL11CL001XQ01-OUT,-OUT,30GBL11CL001XQ01-OUT,1,30GBL11CL001XQ01-OUT
923,SB_010200000000000923,SB_30GCK11AP001-POS.PV,DEMIN WTR PMP A POS,DOUBLE,,,0,100,30GCK11AP001-POS,1,.PV,30GCK11AP001-POS,-POS,30GCK11AP001-POS,-1,30GCK11AP001-POS
924,SB_010200000000000924,SB_30GCK12AP001-POS.PV,DEMIN WTR PMP B POS,DOUBLE,,,0,100,30GCK12AP001-POS,1,.PV,30GCK12AP001-POS,-POS,30GCK12AP001-POS,-1,30GCK12AP001-POS
925,SB_010200000000000925,SB_30GCK30CP001XQ01.PV,DEMIN WTR PMP DSCH HDR PRS,DOUBLE,,,0,10,30GCK30CP001XQ01,0,.PV,30GCK30CP001XQ01,,30GCK30CP001XQ01,0,30GCK30CP001XQ01
926,SB_010200000000000926,SB_30GCK30CP001XQ01-OUT.PV,DEMIN WTR PMP DSCH HDR PRS,DOUBLE,bar G,,0,10,30GCK30CP001XQ01-OUT,1,.PV,30GCK30CP001XQ01-OUT,-OUT,30GCK30CP001XQ01-OUT,1,30GCK30CP001XQ01-OUT
927,SB_010200000000000927,SB_30GCK40AP001-POS.PV,BLR INITIAL FILL PMP POS,DOUBLE,,,0,100,30GCK40AP001-POS,1,.PV,30GCK40AP001-POS,-POS,30GCK40AP001-POS,-1,30GCK40AP001-POS
928,SB_010200000000000928,SB_30GCK43AA201-POS.PV,CCW MU ISO VALVE POS,DOUBLE,,,0,100,30GCK43AA201-POS,1,.PV,30GCK43AA201-POS,-POS,30GCK43AA201-POS,-1,30GCK43AA201-POS
929,SB_010200000000000929,SB_30GCK44AA251XQ01.PV,COND MU VLV POS,DOUBLE,,,0,100,30GCK44AA251XQ01,1,.PV,30GCK44AA251XQ01,,30GCK44AA251XQ01,-1,30GCK44AA251XQ01
930,SB_010200000000000930,SB_30GCK44CF002XQ01.PV,COND MU WTR FLW,DOUBLE,,,0,100,30GCK44CF002XQ01,1,.PV,30GCK44CF002XQ01,,30GCK44CF002XQ01,-1,30GCK44CF002XQ01
931,SB_010200000000000931,SB_30GCK50CP001XQ01.PV,BLR INFL PMP DSCH PRS,DOUBLE,,,0,15,30GCK50CP001XQ01,0,.PV,30GCK50CP001XQ01,,30GCK50CP001XQ01,0,30GCK50CP001XQ01
932,SB_010200000000000932,SB_30GCK50CP001XQ01-OUT.PV,BLR FILL PMP DSCH HDR PRS,DOUBLE,bar G,,0,15,30GCK50CP001XQ01-OUT,1,.PV,30GCK50CP001XQ01-OUT,-OUT,30GCK50CP001XQ01-OUT,1,30GCK50CP001XQ01-OUT
933,SB_010200000000000933,SB_30GCL10CL002XQ01.PV,DEMIN WTR TK-1 LVL,DOUBLE,,,0,12000,30GCL10CL002XQ01,0,.PV,30GCL10CL002XQ01,,30GCL10CL002XQ01,0,30GCL10CL002XQ01
934,SB_010200000000000934,SB_30GCL10CL002XQ01-OUT.PV,DEMIN WTR TK-1 LVL,DOUBLE,mm,,0,12000,30GCL10CL002XQ01-OUT,1,.PV,30GCL10CL002XQ01-OUT,-OUT,30GCL10CL002XQ01-OUT,1,30GCL10CL002XQ01-OUT
935,SB_010200000000000935,SB_30GCL11CL002XQ01.PV,DEMIN WTR TK-2 LVL,DOUBLE,,,0,12000,30GCL11CL002XQ01,0,.PV,30GCL11CL002XQ01,,30GCL11CL002XQ01,0,30GCL11CL002XQ01
936,SB_010200000000000936,SB_30GCL11CL002XQ01-OUT.PV,DEMIN WTR TK-2 LVL,DOUBLE,mm,,0,10500,30GCL11CL002XQ01-OUT,1,.PV,30GCL11CL002XQ01-OUT,-OUT,30GCL11CL002XQ01-OUT,1,30GCL11CL002XQ01-OUT
937,SB_010200000000000937,SB_30GHA10CL001XQ01.PV,INDUSTRIAL WTR TK-1 LVL,DOUBLE,,,0,12000,30GHA10CL001XQ01,0,.PV,30GHA10CL001XQ01,,30GHA10CL001XQ01,0,30GHA10CL001XQ01
938,SB_010200000000000938,SB_30GHA10CL001XQ01-OUT.PV,INDUSTRIAL WTR TK-1 LVL,DOUBLE,mm,,0,12000,30GHA10CL001XQ01-OUT,1,.PV,30GHA10CL001XQ01-OUT,-OUT,30GHA10CL001XQ01-OUT,1,30GHA10CL001XQ01-OUT
939,SB_010200000000000939,SB_30GHA11CL001XQ01.PV,INDUSTRIAL WTR TK-2 LVL,DOUBLE,,,0,12000,30GHA11CL001XQ01,0,.PV,30GHA11CL001XQ01,,30GHA11CL001XQ01,0,30GHA11CL001XQ01
940,SB_010200000000000940,SB_30GHA11CL001XQ01-OUT.PV,INDUSTRIAL WTR TK-2 LVL,DOUBLE,mm,,0,12000,30GHA11CL001XQ01-OUT,1,.PV,30GHA11CL001XQ01-OUT,-OUT,30GHA11CL001XQ01-OUT,1,30GHA11CL001XQ01-OUT
941,SB_010200000000000941,SB_30GHA14AP001-POS.PV,POTABLE WTR XFR PMP POS,DOUBLE,,,0,100,30GHA14AP001-POS,1,.PV,30GHA14AP001-POS,-POS,30GHA14AP001-POS,-1,30GHA14AP001-POS
942,SB_010200000000000942,SB_30GHA30CP001XQ01.PV,POTABLE WTR XFR PMP DSCH PRS,DOUBLE,,,0,10,30GHA30CP001XQ01,0,.PV,30GHA30CP001XQ01,,30GHA30CP001XQ01,0,30GHA30CP001XQ01
943,SB_010200000000000943,SB_30GHA30CP001XQ01-OUT.PV,POTABLE WTR XFR PMP DSCH PRS,DOUBLE,bar G,,0,10,30GHA30CP001XQ01-OUT,1,.PV,30GHA30CP001XQ01-OUT,-OUT,30GHA30CP001XQ01-OUT,1,30GHA30CP001XQ01-OUT
944,SB_010200000000000944,SB_30GHD30AA010XQ01.PV,FLASH TK QUENCHING WTR CV POS,DOUBLE,,,0,100,30GHD30AA010XQ01,1,.PV,30GHD30AA010XQ01,,30GHD30AA010XQ01,-1,30GHD30AA010XQ01
945,SB_010200000000000945,SB_30GHD61AA251XQ01.PV,BD TANK TCV POSITION,DOUBLE,,,0,100,30GHD61AA251XQ01,1,.PV,30GHD61AA251XQ01,,30GHD61AA251XQ01,-1,30GHD61AA251XQ01
946,SB_010200000000000946,SB_30GKB10CL003XQ01.PV,POTABLE WTR TK LVL,DOUBLE,,,0,3000,30GKB10CL003XQ01,0,.PV,30GKB10CL003XQ01,,30GKB10CL003XQ01,0,30GKB10CL003XQ01
947,SB_010200000000000947,SB_30GKB10CL003XQ01-OUT.PV,POTABLE WTR TK LVL,DOUBLE,mm,,0,3000,30GKB10CL003XQ01-OUT,1,.PV,30GKB10CL003XQ01-OUT,-OUT,30GKB10CL003XQ01-OUT,1,30GKB10CL003XQ01-OUT
948,SB_010200000000000948,SB_30GKB11AP001-POS.PV,POTABLE WTR PMP POS,DOUBLE,,,0,100,30GKB11AP001-POS,1,.PV,30GKB11AP001-POS,-POS,30GKB11AP001-POS,-1,30GKB11AP001-POS
949,SB_010200000000000949,SB_30GKB30CP001XQ01.PV,POTABLE WTR PMP DSCH PRS,DOUBLE,,,0,10,30GKB30CP001XQ01,0,.PV,30GKB30CP001XQ01,,30GKB30CP001XQ01,0,30GKB30CP001XQ01
950,SB_010200000000000950,SB_30GKB30CP001XQ01-OUT.PV,POTABLE WTR PMP DSCH PRS,DOUBLE,bar G,,0,10,30GKB30CP001XQ01-OUT,1,.PV,30GKB30CP001XQ01-OUT,-OUT,30GKB30CP001XQ01-OUT,1,30GKB30CP001XQ01-OUT
951,SB_010200000000000951,SB_30GMA25CQ001XQ01.PV,CENTRAL MONITORING BASIN PH,DOUBLE,,,0,14,30GMA25CQ001XQ01,0,.PV,30GMA25CQ001XQ01,,30GMA25CQ001XQ01,0,30GMA25CQ001XQ01
952,SB_010200000000000952,SB_30GMA25CQ001XQ01-OUT.PV,CENTRAL MONITORING BASIN PH,DOUBLE,,,0,14,30GMA25CQ001XQ01-OUT,1,.PV,30GMA25CQ001XQ01-OUT,-OUT,30GMA25CQ001XQ01-OUT,1,30GMA25CQ001XQ01-OUT
953,SB_010200000000000953,SB_30GMA26CF001XQ01.PV,EFFLUENT PMP FLW TO CW OUTFALL,DOUBLE,,,0,22,30GMA26CF001XQ01,0,.PV,30GMA26CF001XQ01,,30GMA26CF001XQ01,0,30GMA26CF001XQ01
954,SB_010200000000000954,SB_30GMA26CF001XQ01-OUT.PV,EFFLUENT PMP FLW TO CW OUTFALL,DOUBLE,,,0,22,30GMA26CF001XQ01-OUT,1,.PV,30GMA26CF001XQ01-OUT,-OUT,30GMA26CF001XQ01-OUT,1,30GMA26CF001XQ01-OUT
955,SB_010200000000000955,SB_30HAG10CL001XQ01.PV,STM DRUM LEVEL A,DOUBLE,,,0,100,30HAG10CL001XQ01,1,.PV,30HAG10CL001XQ01,,30HAG10CL001XQ01,-1,30HAG10CL001XQ01
956,SB_010200000000000956,SB_30HAG10CL002XQ01.PV,STM DRUM LEVEL B,DOUBLE,,,0,100,30HAG10CL002XQ01,1,.PV,30HAG10CL002XQ01,,30HAG10CL002XQ01,-1,30HAG10CL002XQ01
957,SB_010200000000000957,SB_30HAG10CL003XQ01.PV,STM DRUM LEVEL C,DOUBLE,,,0,100,30HAG10CL003XQ01,1,.PV,30HAG10CL003XQ01,,30HAG10CL003XQ01,-1,30HAG10CL003XQ01
958,SB_010200000000000958,SB_30HAG10CP001XQ01.PV,STM DRUM PRESS A,DOUBLE,,,0,100,30HAG10CP001XQ01,1,.PV,30HAG10CP001XQ01,,30HAG10CP001XQ01,-1,30HAG10CP001XQ01
959,SB_010200000000000959,SB_30HAG10CP002XQ01.PV,STM DRUM PRESS B,DOUBLE,,,0,100,30HAG10CP002XQ01,1,.PV,30HAG10CP002XQ01,,30HAG10CP002XQ01,-1,30HAG10CP002XQ01
960,SB_010200000000000960,SB_30HAG10CP003XQ01.PV,STM DRUM PRESS C,DOUBLE,,,0,100,30HAG10CP003XQ01,1,.PV,30HAG10CP003XQ01,,30HAG10CP003XQ01,-1,30HAG10CP003XQ01
961,SB_010200000000000961,SB_30HAH20CP001XQ01.PV,HRA PARTITION WALL OTL PRESS,DOUBLE,,,0,100,30HAH20CP001XQ01,1,.PV,30HAH20CP001XQ01,,30HAH20CP001XQ01,-1,30HAH20CP001XQ01
962,SB_010200000000000962,SB_30HAH40CP001XQ01.PV,PSH OTL PRESS,DOUBLE,,,0,100,30HAH40CP001XQ01,1,.PV,30HAH40CP001XQ01,,30HAH40CP001XQ01,-1,30HAH40CP001XQ01
963,SB_010200000000000963,SB_30HCB01AA251XQ01.PV,SB STM PCV POS,DOUBLE,,,0,100,30HCB01AA251XQ01,1,.PV,30HCB01AA251XQ01,,30HCB01AA251XQ01,-1,30HCB01AA251XQ01
964,SB_010200000000000964,SB_30HCB1CF001XQ01.PV,SB STM SPLY FLOW,DOUBLE,,,0,100,30HCB1CF001XQ01,1,.PV,30HCB1CF001XQ01,,30HCB1CF001XQ01,-1,30HCB1CF001XQ01
965,SB_010200000000000965,SB_30HCB1CP001XQ01.PV,SB STM SPLY PRESS A,DOUBLE,,,0,100,30HCB1CP001XQ01,1,.PV,30HCB1CP001XQ01,,30HCB1CP001XQ01,-1,30HCB1CP001XQ01
966,SB_010200000000000966,SB_30HCB1CP002XQ01.PV,SB STM SPLY PRESS B,DOUBLE,,,0,100,30HCB1CP002XQ01,1,.PV,30HCB1CP002XQ01,,30HCB1CP002XQ01,-1,30HCB1CP002XQ01
967,SB_010200000000000967,SB_30HFA10CL001XQ01.PV,COAL SILO A LEVEL,DOUBLE,,,0,16500,30HFA10CL001XQ01,1,.PV,30HFA10CL001XQ01,,30HFA10CL001XQ01,-1,30HFA10CL001XQ01
968,SB_010200000000000968,SB_30HFA20CL001XQ01.PV,COAL SILO B LEVEL,DOUBLE,,,0,16500,30HFA20CL001XQ01,1,.PV,30HFA20CL001XQ01,,30HFA20CL001XQ01,-1,30HFA20CL001XQ01
969,SB_010200000000000969,SB_30HFA30CL001XQ01.PV,COAL SILO C LEVEL,DOUBLE,,,0,16500,30HFA30CL001XQ01,1,.PV,30HFA30CL001XQ01,,30HFA30CL001XQ01,-1,30HFA30CL001XQ01
970,SB_010200000000000970,SB_30HFA40CL001XQ01.PV,COAL SILO D LEVEL,DOUBLE,,,0,16500,30HFA40CL001XQ01,1,.PV,30HFA40CL001XQ01,,30HFA40CL001XQ01,-1,30HFA40CL001XQ01
971,SB_010200000000000971,SB_30HFB10AF001XQ01.PV,COAL FD A FEED RATE,DOUBLE,,,0,100,30HFB10AF001XQ01,1,.PV,30HFB10AF001XQ01,,30HFB10AF001XQ01,-1,30HFB10AF001XQ01
972,SB_010200000000000972,SB_30HFB10CT001XQ01.PV,COAL FD A TEMP 1A,DOUBLE,,,0,200,30HFB10CT001XQ01,1,.PV,30HFB10CT001XQ01,,30HFB10CT001XQ01,-1,30HFB10CT001XQ01
973,SB_010200000000000973,SB_30HFB10CT002XQ01.PV,COAL FD A TEMP 2A,DOUBLE,,,0,200,30HFB10CT002XQ01,1,.PV,30HFB10CT002XQ01,,30HFB10CT002XQ01,-1,30HFB10CT002XQ01
974,SB_010200000000000974,SB_30HFB20AF001XQ01.PV,COAL FD B FEED RATE,DOUBLE,,,0,100,30HFB20AF001XQ01,1,.PV,30HFB20AF001XQ01,,30HFB20AF001XQ01,-1,30HFB20AF001XQ01
975,SB_010200000000000975,SB_30HFB20CT001XQ01.PV,COAL FD B TEMP 1A,DOUBLE,,,0,200,30HFB20CT001XQ01,1,.PV,30HFB20CT001XQ01,,30HFB20CT001XQ01,-1,30HFB20CT001XQ01
976,SB_010200000000000976,SB_30HFB20CT002XQ01.PV,COAL FD B TEMP 2A,DOUBLE,,,0,200,30HFB20CT002XQ01,1,.PV,30HFB20CT002XQ01,,30HFB20CT002XQ01,-1,30HFB20CT002XQ01
977,SB_010200000000000977,SB_30HFB30AF001XQ01.PV,COAL FD C FEED RATE,DOUBLE,,,0,100,30HFB30AF001XQ01,1,.PV,30HFB30AF001XQ01,,30HFB30AF001XQ01,-1,30HFB30AF001XQ01
978,SB_010200000000000978,SB_30HFB30CT001XQ01.PV,COAL FD C TEMP 1A,DOUBLE,,,0,200,30HFB30CT001XQ01,1,.PV,30HFB30CT001XQ01,,30HFB30CT001XQ01,-1,30HFB30CT001XQ01
979,SB_010200000000000979,SB_30HFB30CT002XQ01.PV,COAL FD C TEMP 2A,DOUBLE,,,0,200,30HFB30CT002XQ01,1,.PV,30HFB30CT002XQ01,,30HFB30CT002XQ01,-1,30HFB30CT002XQ01
980,SB_010200000000000980,SB_30HFB40AF001XQ01.PV,COAL FD D FEED RATE,DOUBLE,,,0,100,30HFB40AF001XQ01,1,.PV,30HFB40AF001XQ01,,30HFB40AF001XQ01,-1,30HFB40AF001XQ01
981,SB_010200000000000981,SB_30HFB40CT001XQ01.PV,COAL FD D TEMP 1A,DOUBLE,,,0,200,30HFB40CT001XQ01,1,.PV,30HFB40CT001XQ01,,30HFB40CT001XQ01,-1,30HFB40CT001XQ01
982,SB_010200000000000982,SB_30HFB40CT002XQ01.PV,COAL FD D TEMP 2A,DOUBLE,,,0,200,30HFB40CT002XQ01,1,.PV,30HFB40CT002XQ01,,30HFB40CT002XQ01,-1,30HFB40CT002XQ01
983,SB_010200000000000983,SB_30HFC10AJ001XQ01.PV,MILL A MOT CURRENT,DOUBLE,,,0,50,30HFC10AJ001XQ01,1,.PV,30HFC10AJ001XQ01,,30HFC10AJ001XQ01,-1,30HFC10AJ001XQ01
984,SB_010200000000000984,SB_30HFC10CD001XQ01.PV,MILL A CO INTENSITY,DOUBLE,,,0,1000,30HFC10CD001XQ01,1,.PV,30HFC10CD001XQ01,,30HFC10CD001XQ01,-1,30HFC10CD001XQ01
985,SB_010200000000000985,SB_30HFC10CP001XQ01.PV,MILL A GEARBOX OIL PRESS A,DOUBLE,,,0,10,30HFC10CP001XQ01,1,.PV,30HFC10CP001XQ01,,30HFC10CP001XQ01,-1,30HFC10CP001XQ01
986,SB_010200000000000986,SB_30HFC10CP002XQ01.PV,MILL A GEARBOX OIL PRESS B,DOUBLE,,,0,10,30HFC10CP002XQ01,1,.PV,30HFC10CP002XQ01,,30HFC10CP002XQ01,-1,30HFC10CP002XQ01
