No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
3379,SB_010200010000003379,SB_30BBA00GS100XB23.OUT,6.0KV SWGR BUS E-FAIL,BOOL,,,0,0,30BBA00GS100XB23,0,.OUT,30BBA00GS100XB23,,30BBA00GS100XB23,0,30BBA00GS100XB23
3380,SB_010200010000003380,SB_30BBA00GS100XB23-OUT.OUT,6.0KV SWGR BUS E-FAIL,BOOL,,,0,0,30BBA00GS100XB23-OUT,1,.OUT,30BBA00GS100XB23-OUT,-OUT,30BBA00GS100XB23-OUT,1,30BBA00GS100XB23-OUT
3381,SB_010200010000003381,SB_30BBA00GS600XB19.OUT,6.0KV SWGR BUS ES OPN,BOOL,,,0,0,30BBA00GS600XB19,0,.OUT,30BBA00GS600XB19,,30BBA00GS600XB19,0,30BBA00GS600XB19
3382,SB_010200010000003382,SB_30BBA00GS600XB19-OUT.OUT,6.0KV SWGR BUS ES OPN,BOOL,,,0,0,30BBA00GS600XB19-OUT,1,.OUT,30BBA00GS600XB19-OUT,-OUT,30BBA00GS600XB19-OUT,1,30BBA00GS600XB19-OUT
3383,SB_010200010000003383,SB_30BBA00CE001XQ14-CND.OUT,6.0KV SWGR BUS VLT U-V ABN,BOOL,,,0,0,30BBA00CE001XQ14-CND,1,.OUT,30BBA00CE001XQ14-CND,-CND,30BBA00CE001XQ14-CND,-1,30BBA00CE001XQ14-CND
3384,SB_010200010000003384,SB_30BBA00CE001XQ15-CND.OUT,6.0KV SWGR BUS VLT V-W ABN,BOOL,,,0,0,30BBA00CE001XQ15-CND,1,.OUT,30BBA00CE001XQ15-CND,-CND,30BBA00CE001XQ15-CND,-1,30BBA00CE001XQ15-CND
3385,SB_010200010000003385,SB_30BBA00CE001XQ16-CND.OUT,6.0KV SWGR BUS VLT W-U ABN,BOOL,,,0,0,30BBA00CE001XQ16-CND,1,.OUT,30BBA00CE001XQ16-CND,-CND,30BBA00CE001XQ16-CND,-1,30BBA00CE001XQ16-CND
3386,SB_010200010000003386,SB_30BBT10GT200-ABN.OUT,6.0KV SWGR INCM CB ABN,BOOL,,,0,0,30BBT10GT200-ABN,1,.OUT,30BBT10GT200-ABN,-ABN,30BBT10GT200-ABN,-1,30BBT10GT200-ABN
3387,SB_010200010000003387,SB_30BBT10GT200XB18-OUT.OUT,6.0KV SWGR INCM CB AVAIL,BOOL,,,0,0,30BBT10GT200XB18-OUT,1,.OUT,30BBT10GT200XB18-OUT,-OUT,30BBT10GT200XB18-OUT,1,30BBT10GT200XB18-OUT
3388,SB_010200010000003388,SB_30BBT10GT200XB02.OUT,6.0KV SWGR INCM CB CLS,BOOL,,,0,0,30BBT10GT200XB02,1,.OUT,30BBT10GT200XB02,,30BBT10GT200XB02,-1,30BBT10GT200XB02
