Trend,2020112164.csv,2020/11/22,14:02:46
,TagNo,Description,Unit,Dp
1025,C50_HC_PC_ET,C50 HC800 PREVIOUS CYCLE ELAPSE,,
1026,C50_HC_PROC_UT,C50 HC800 PROCESSOR UTILISATION,,
1027,C60_HC_CC_ET,C60 HC800 CURRENT CYCLE ELAPSE TIME,,
1028,C60_HC_FREETIME,C60 HC800 FREETIME,,
1029,C60_HC_PC_ET,C60 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1030,C60_HC_PROC_UT,C60 HC800 PROCESSOR UTILISATION,,
1031,C70_HC_CC_ET,C70 HC800 CURRENT CYCLE ELAPSE TIME,,
1032,C70_HC_FREETIME,C70 HC800 FREETIME,,
1033,C70_HC_PC_ET,C70 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1034,C70_HC_PROC_UT,C70 HC800 PROCESSOR UTILISATION,,
1035,C80_HC_CC_ET,C80 HC800 CURRENT CYCLE ELAPSE T,,
1036,C80_HC_FREETIME,C80 HC800 FREETIME,,
1037,C80_HC_PC_ET,C80 HC800 PREVIOUS CYCLE ELAPSE,,
1038,C80_HC_PROC_UT,C80 HC800 PROCESSOR UTILISATION,,
1039,C90_HC_CC_ET,C90 HC800 CURRENT CYCLE ELAPSE TIME,,
1040,C90_HC_FREETIME,C90 HC800 FREETIME,,

Date,Time,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040
2020/11/21,05:56:00,0.0007185068679973483,0.23688539862632751,0.002967325272038579,100,0.0018312538741156459,0.9218277931213379,0.0022240716498345137,100,0.0022240716498345137,0.5670685768127441,0.0010257069952785969,100,0.0006502401665784419,0.4587521255016327,0.0027337963692843914,100
2020/11/21,05:56:10,0.0007185068679973483,0.23688539862632751,0.002967325272038579,100,0.0018312538741156459,0.9218277931213379,0.0022240716498345137,100,0.0022240716498345137,0.41972634196281433,0.0010257069952785969,100,0.0006502401665784419,0.5659308433532715,0.0027337963692843914,100
2020/11/21,05:56:20,0.0007185068679973483,0.23688539862632751,0.002967325272038579,100,0.0018312538741156459,1.2776110172271729,0.0022240716498345137,100,0.0022240716498345137,0.5688890218734741,0.0010257069952785969,100,0.0006502401665784419,0.48002856969833374,0.0027337963692843914,100
2020/11/21,05:56:30,0.0007185068679973483,0.23688539862632751,0.005319112446159124,100,0.0035310944076627493,1.569906234741211,0.0022240716498345137,100,0.0022240716498345137,0.4914063513278961,0.0010257069952785969,100,0.0006502401665784419,0.38297611474990845,0.0022260628174990416,100
2020/11/21,05:56:40,0.0014759826008230448,0.23688539862632751,0.005319112446159124,100,0.0035310944076627493,1.3894546031951904,0.0019697784446179867,100,0.0019697784446179867,0.3573760986328125,0.0010257069952785969,100,0.0007827913505025208,0.38297611474990845,0.0022260628174990416,100
2020/11/21,05:56:50,0.0014759826008230448,0.19080539047718048,0.005319112446159124,100,0.0035310944076627493,0.9506136178970337,0.0019697784446179867,100,0.0019697784446179867,0.33325520157814026,0.0007247646572068334,100,0.0007827913505025208,0.38297611474990845,0.0022260628174990416,100
2020/11/21,05:57:00,0.0014759826008230448,0.19080539047718048,0.005319112446159124,100,0.0035310944076627493,3.863553047180176,0.0019697784446179867,100,0.0019697784446179867,0.33325520157814026,0.0007247646572068334,100,0.0007827913505025208,0.5461335182189941,0.0022260628174990416,100
2020/11/21,05:57:10,0.0014759826008230448,0.19080539047718048,0.005319112446159124,100,0.0035310944076627493,0.9193246960639954,0.0019697784446179867,100,0.0019697784446179867,0.6329459547996521,0.0007247646572068334,100,0.0007827913505025208,0.5461335182189941,0.0022260628174990416,100
2020/11/21,05:57:20,0.0014759826008230448,0.19080539047718048,0.005319112446159124,100,0.0035310944076627493,1.2837550640106201,0.0019697784446179867,100,0.0019697784446179867,0.6329459547996521,0.0007247646572068334,100,0.0007827913505025208,0.5461335182189941,0.0022260628174990416,100
2020/11/21,05:57:30,0.0014759826008230448,0.21947740018367767,0.005319112446159124,100,0.0035310944076627493,1.5179097652435303,0.0019697784446179867,100,0.0019697784446179867,0.6329459547996521,0.0007247646572068334,100,0.0007827913505025208,0.5461335182189941,0.002135609509423375,100
2020/11/21,05:57:40,0.0024732451420277357,0.21947740018367767,0.0034395032562315464,100,0.0040598767809569836,1.1520003080368042,0.001258382573723793,100,0.0019697784446179867,0.38627567887306213,0.0007247646572068334,100,0.0007827913505025208,0.5461335182189941,0.002135609509423375,100
2020/11/21,05:57:50,0.0024732451420277357,0.21947740018367767,0.0034395032562315464,100,0.0040598767809569836,1.7652627229690552,0.001258382573723793,100,0.001258382573723793,1.5126760005950928,0.0008448002627119422,100,0.0011511469492688775,0.5461335182189941,0.002135609509423375,100
2020/11/21,05:58:00,0.0024732451420277357,0.21947740018367767,0.0034395032562315464,100,0.0040598767809569836,0.6483059525489807,0.001258382573723793,100,0.001258382573723793,0.4711539149284363,0.0008448002627119422,100,0.0011511469492688775,0.6106455326080322,0.002135609509423375,100
2020/11/21,05:58:10,0.0024732451420277357,0.21947740018367767,0.0034395032562315464,100,0.0040598767809569836,1.1331132650375366,0.001258382573723793,100,0.001258382573723793,1.6089320182800293,0.0008448002627119422,100,0.0011511469492688775,0.6106455326080322,0.002135609509423375,100
2020/11/21,05:58:20,0.0024732451420277357,0.21947740018367767,0.0034395032562315464,100,0.0040598767809569836,1.4585177898406982,0.001258382573723793,100,0.001258382573723793,0.6369282007217407,0.0008448002627119422,100,0.0011511469492688775,0.6106455326080322,0.002135609509423375,100
2020/11/21,05:58:30,0.0024732451420277357,0.1415395885705948,0.0034395032562315464,100,0.0040598767809569836,1.3637408018112183,0.001258382573723793,100,0.001258382573723793,0.6475095152854919,0.0008448002627119422,100,0.0011511469492688775,0.5758295059204102,0.0015667204279452562,100
2020/11/21,05:58:40,0.0024732451420277357,0.1415395885705948,0.0018554315902292728,100,0.003729636548087001,0.860160231590271,0.001258382573723793,100,0.001258382573723793,0.6475095152854919,0.0008448002627119422,100,0.0011511469492688775,0.42928367853164673,0.0015667204279452562,100
2020/11/21,05:58:50,0.0003783112042583525,0.1415395885705948,0.0018554315902292728,100,0.003729636548087001,1.2520110607147217,0.0009068091749213636,100,0.0009068091749213636,1.7013195753097534,0.0012555380817502737,100,0.0014529426116496325,0.42928367853164673,0.0015667204279452562,100
2020/11/21,05:59:00,0.0003783112042583525,0.1822720468044281,0.0018554315902292728,100,0.003729636548087001,1.3789870738983154,0.0009068091749213636,100,0.0009068091749213636,0.8688073754310608,0.0012555380817502737,100,0.0014529426116496325,0.42928367853164673,0.0015667204279452562,100
2020/11/21,05:59:10,0.0003783112042583525,0.1822720468044281,0.0018554315902292728,100,0.003729636548087001,1.2144643068313599,0.0009068091749213636,100,0.0009068091749213636,0.625550389289856,0.0012555380817502737,100,0.0014529426116496325,0.42928367853164673,0.0015667204279452562,100
2020/11/21,05:59:20,0.0003783112042583525,0.1822720468044281,0.0018554315902292728,100,0.003729636548087001,1.6564911603927612,0.0009068091749213636,100,0.0009068091749213636,1.002268671989441,0.0012555380817502737,100,0.0014529426116496325,0.42928367853164673,0.0015667204279452562,100
2020/11/21,05:59:30,0.0003783112042583525,0.1822720468044281,0.0018554315902292728,100,0.003729636548087001,0.5967646241188049,0.0009068091749213636,100,0.0009068091749213636,0.8438900113105774,0.0012555380817502737,100,0.0014529426116496325,0.2822827398777008,0.0015667204279452562,100
2020/11/21,05:59:40,0.0003783112042583525,0.16224715113639832,0.00431758351624012,100,0.0018710760632529855,1.4762670993804932,0.0009068091749213636,100,0.0009068091749213636,0.8438900113105774,0.0012555380817502737,100,0.0014529426116496325,0.2874027490615845,0.0016716804821044207,100
2020/11/21,05:59:50,0.0005592179368250072,0.16224715113639832,0.00431758351624012,100,0.0018710760632529855,1.4929924011230469,0.0020861162338405848,100,0.0020861162338405848,0.8438900113105774,0.0012654936872422695,100,0.0014947559684515,1.373753309249878,0.0016716804821044207,100
2020/11/21,06:00:00,0.0005592179368250072,0.16224715113639832,0.00431758351624012,100,0.0018710760632529855,0.8070260286331177,0.0020861162338405848,100,0.0020861162338405848,0.8118046522140503,0.0012654936872422695,100,0.0014947559684515,1.4731950759887695,0.0016716804821044207,100
2020/11/21,06:00:10,0.0005592179368250072,0.39219212532043457,0.00431758351624012,100,0.0018710760632529855,1.4027665853500366,0.0020861162338405848,100,0.0020861162338405848,0.8118046522140503,0.0012654936872422695,100,0.0014947559684515,0.432355672121048,0.0016716804821044207,100
2020/11/21,06:00:20,0.0005592179368250072,0.39219212532043457,0.00431758351624012,100,0.0018710760632529855,0.5859557390213013,0.0020861162338405848,100,0.0020861162338405848,0.8118046522140503,0.0012654936872422695,100,0.0014947559684515,0.432355672121048,0.0016716804821044207,100
2020/11/21,06:00:30,0.0005592179368250072,0.39219212532043457,0.00431758351624012,100,0.0018710760632529855,1.485824465751648,0.0020861162338405848,100,0.0020861162338405848,0.8118046522140503,0.0012654936872422695,100,0.0014947559684515,0.432355672121048,0.0016716804821044207,100
2020/11/21,06:00:40,0.0005592179368250072,0.39219212532043457,0.00431758351624012,100,0.0018710760632529855,1.3564590215682983,0.0020861162338405848,100,0.0020861162338405848,0.8118046522140503,0.0012654936872422695,100,0.0014947559684515,0.432355672121048,0.0018779027741402388,100
2020/11/21,06:00:50,0.003417885396629572,0.39219212532043457,0.0019566938281059265,100,0.001843484933488071,1.1593959331512451,0.0020360539201647043,100,0.0020861162338405848,0.8861016035079956,0.0012654936872422695,100,0.0014947559684515,0.432355672121048,0.0018779027741402388,100
2020/11/21,06:01:00,0.003417885396629572,0.5379415154457092,0.0019566938281059265,100,0.001843484933488071,1.6231542825698853,0.0020360539201647043,100,0.0020360539201647043,0.6470544338226318,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0018779027741402388,100
2020/11/21,06:01:10,0.003417885396629572,0.5379415154457092,0.0019566938281059265,100,0.001843484933488071,0.94708651304245,0.0020360539201647043,100,0.0020360539201647043,0.7533228993415833,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0018779027741402388,100
2020/11/21,06:01:20,0.003417885396629572,0.2267591804265976,0.0019566938281059265,100,0.001843484933488071,1.2957017421722412,0.0020360539201647043,100,0.0020360539201647043,0.7906420230865479,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0018779027741402388,100
2020/11/21,06:01:30,0.003417885396629572,0.2267591804265976,0.0019566938281059265,100,0.001843484933488071,0.7521851062774658,0.0020360539201647043,100,0.0020360539201647043,0.9299060702323914,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0018779027741402388,100
2020/11/21,06:01:40,0.003417885396629572,0.2267591804265976,0.0019566938281059265,100,0.001843484933488071,1.2788625955581665,0.0020360539201647043,100,0.0020360539201647043,0.9299060702323914,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0026049430016428232,100
2020/11/21,06:01:50,0.0008044090936891735,0.20889605581760406,0.003385743126273155,100,0.0030418497044593096,1.2788625955581665,0.0020360539201647043,100,0.0020360539201647043,0.9299060702323914,0.0011975114466622472,100,0.0009281424572691321,0.5085868239402771,0.0026049430016428232,100
2020/11/21,06:02:00,0.0008044090936891735,0.20889605581760406,0.003385743126273155,100,0.0030418497044593096,1.2107096910476685,0.002800640882924199,100,0.002800640882924199,0.9299060702323914,0.0016779382713139057,100,0.0009059557924047112,0.3229014277458191,0.0026049430016428232,100
2020/11/21,06:02:10,0.0008044090936891735,0.20889605581760406,0.003385743126273155,100,0.0030418497044593096,1.3383684158325195,0.002800640882924199,100,0.002800640882924199,0.8940660357475281,0.0016779382713139057,100,0.0009059557924047112,0.5218988060951233,0.0026049430016428232,100
2020/11/21,06:02:20,0.0008044090936891735,0.3549867570400238,0.003385743126273155,100,0.0030418497044593096,1.4348520040512085,0.002800640882924199,100,0.002800640882924199,0.8715380430221558,0.0016779382713139057,100,0.0009059557924047112,0.841841995716095,0.0026049430016428232,100
2020/11/21,06:02:30,0.0008044090936891735,0.3549867570400238,0.003385743126273155,100,0.0030418497044593096,1.3742084503173828,0.002800640882924199,100,0.002800640882924199,0.8715380430221558,0.0016779382713139057,100,0.0009059557924047112,0.5286117196083069,0.0026049430016428232,100
2020/11/21,06:02:40,0.0008044090936891735,0.3549867570400238,0.003385743126273155,100,0.0030418497044593096,1.5246226787567139,0.002800640882924199,100,0.002800640882924199,0.8715380430221558,0.0016779382713139057,100,0.0009059557924047112,0.5286117196083069,0.0026049430016428232,100
2020/11/21,06:02:50,0.0008044090936891735,0.3549867570400238,0.002869191812351346,100,0.0016125160036608577,1.3003666400909424,0.002800640882924199,100,0.002800640882924199,0.8715380430221558,0.0016779382713139057,100,0.0009059557924047112,0.5262223482131958,0.0016312893712893128,100
2020/11/21,06:03:00,0.0005284979124553502,0.3549867570400238,0.002869191812351346,100,0.0016125160036608577,1.2937674522399902,0.0013784181792289019,100,0.0013784181792289019,0.8715380430221558,0.0012652092846110463,100,0.0010154669871553779,0.5262223482131958,0.0016312893712893128,100
2020/11/21,06:03:10,0.0005284979124553502,0.3549867570400238,0.002869191812351346,100,0.0016125160036608577,1.3753461837768555,0.0013784181792289019,100,0.0013784181792289019,0.9064677953720093,0.0012652092846110463,100,0.0010154669871553779,0.4210916757583618,0.0016312893712893128,100
2020/11/21,06:03:20,0.0005284979124553502,0.3290454149246216,0.002869191812351346,100,0.0016125160036608577,1.8668663501739502,0.0013784181792289019,100,0.0013784181792289019,0.8758615851402283,0.0012652092846110463,100,0.0010154669871553779,0.4932267963886261,0.0016312893712893128,100
2020/11/21,06:03:30,0.0005284979124553502,0.3290454149246216,0.002869191812351346,100,0.0016125160036608577,1.4255222082138062,0.0013784181792289019,100,0.0013784181792289019,0.8758615851402283,0.0012652092846110463,100,0.0010154669871553779,0.5980161428451538,0.0016312893712893128,100
2020/11/21,06:03:40,0.0005284979124553502,0.36329254508018494,0.002869191812351346,100,0.0016125160036608577,1.1537070274353027,0.0013784181792289019,100,0.0013784181792289019,0.3912819027900696,0.0012652092846110463,100,0.0010154669871553779,0.5980161428451538,0.0016312893712893128,100
2020/11/21,06:03:50,0.0005284979124553502,0.4243912398815155,0.002869191812351346,100,0.0016125160036608577,0.8486686944961548,0.0013784181792289019,100,0.0013784181792289019,0.34577077627182007,0.0012652092846110463,100,0.0010154669871553779,0.5980161428451538,0.0018591294065117836,100
2020/11/21,06:04:00,0.0010658135870471597,0.4243912398815155,0.0019589695148169994,100,0.004161708056926727,1.5162030458450317,0.0018685160903260112,100,0.0013784181792289019,0.7474064230918884,0.0012652092846110463,100,0.0010154669871553779,0.5980161428451538,0.0018591294065117836,100
2020/11/21,06:04:10,0.0010658135870471597,0.3692089915275574,0.0019589695148169994,100,0.004161708056926727,1.187726616859436,0.0018685160903260112,100,0.0018685160903260112,0.7474064230918884,0.0012771559413522482,100,0.0008493513450957835,0.5980161428451538,0.0018591294065117836,100
2020/11/21,06:04:20,0.0010658135870471597,0.30060097575187683,0.0019589695148169994,100,0.004161708056926727,1.0402705669403076,0.0018685160903260112,100,0.0018685160903260112,0.8298953175544739,0.0012771559413522482,100,0.0008493513450957835,0.7008712887763977,0.0018591294065117836,100
2020/11/21,06:04:30,0.0010658135870471597,0.30060097575187683,0.0019589695148169994,100,0.004161708056926727,0.7502508759498596,0.0018685160903260112,100,0.0018685160903260112,0.8298953175544739,0.0012771559413522482,100,0.0008493513450957835,0.7008712887763977,0.0018591294065117836,100
2020/11/21,06:04:40,0.0010658135870471597,0.30060097575187683,0.0019589695148169994,100,0.004161708056926727,1.3431470394134521,0.0018685160903260112,100,0.0018685160903260112,0.3717121183872223,0.0012771559413522482,100,0.0008493513450957835,0.7008712887763977,0.0018591294065117836,100
2020/11/21,06:04:50,0.0010658135870471597,0.30060097575187683,0.0019589695148169994,100,0.004161708056926727,1.2572448253631592,0.0018685160903260112,100,0.0018685160903260112,0.3698916733264923,0.0012771559413522482,100,0.0008493513450957835,0.7008712887763977,0.002068196190521121,100
2020/11/21,06:05:00,0.0008160713477991521,0.30060097575187683,0.003930454608052969,100,0.0031556275207549334,0.5915308594703674,0.0018685160903260112,100,0.0018685160903260112,0.5864108204841614,0.0012771559413522482,100,0.0008493513450957835,0.7008712887763977,0.002068196190521121,100
2020/11/21,06:05:10,0.0008160713477991521,0.30060097575187683,0.003930454608052969,100,0.0031556275207549334,1.1430119276046753,0.0022155384067445993,100,0.0022155384067445993,0.5864108204841614,0.0007131024030968547,100,0.0007802313193678856,0.5082454681396484,0.002068196190521121,100
2020/11/21,06:05:20,0.0008160713477991521,0.2206151783466339,0.003930454608052969,100,0.0031556275207549334,1.2360820770263672,0.0022155384067445993,100,0.0022155384067445993,0.7235130667686462,0.0007131024030968547,100,0.0007802313193678856,0.5082454681396484,0.002068196190521121,100
2020/11/21,06:05:30,0.0008160713477991521,0.2206151783466339,0.003930454608052969,100,0.0031556275207549334,1.3372305631637573,0.0022155384067445993,100,0.0022155384067445993,1.7677658796310425,0.0007131024030968547,100,0.0007802313193678856,0.5082454681396484,0.002068196190521121,100
2020/11/21,06:05:40,0.0008160713477991521,0.2206151783466339,0.003930454608052969,100,0.0031556275207549334,1.1732767820358276,0.0022155384067445993,100,0.0022155384067445993,0.553756594657898,0.0007131024030968547,100,0.0007802313193678856,0.49823302030563354,0.002068196190521121,100
2020/11/21,06:05:50,0.0008160713477991521,0.23938851058483124,0.003930454608052969,100,0.0031556275207549334,0.7419450879096985,0.0022155384067445993,100,0.0022155384067445993,0.553756594657898,0.0007131024030968547,100,0.0007802313193678856,0.49823302030563354,0.002068196190521121,100
2020/11/21,06:06:00,0.0008160713477991521,0.23938851058483124,0.003185778623446822,100,0.0034087831154465675,0.7687966823577881,0.0022155384067445993,100,0.0022155384067445993,0.5682063698768616,0.0007131024030968547,100,0.0007802313193678856,0.49823302030563354,0.002294898498803377,100
2020/11/21,06:06:10,0.0007884802180342376,0.23938851058483124,0.003185778623446822,100,0.0034087831154465675,0.9979451894760132,0.0024868985638022423,100,0.0024868985638022423,0.5112037062644958,0.0016108093550428748,100,0.0018121961038559675,2.099997043609619,0.002294898498803377,100
2020/11/21,06:06:20,0.0007884802180342376,0.23938851058483124,0.003185778623446822,100,0.0034087831154465675,1.2061585187911987,0.0024868985638022423,100,0.0024868985638022423,0.5112037062644958,0.0016108093550428748,100,0.0018121961038559675,0.45533880591392517,0.002294898498803377,100
2020/11/21,06:06:30,0.0007884802180342376,0.23938851058483124,0.003185778623446822,100,0.0034087831154465675,1.4358760118484497,0.0024868985638022423,100,0.0024868985638022423,1.1348198652267456,0.0016108093550428748,100,0.0018121961038559675,0.45533880591392517,0.002294898498803377,100
2020/11/21,06:06:40,0.0007884802180342376,0.2558862864971161,0.003185778623446822,100,0.0034087831154465675,1.3644235134124756,0.0024868985638022423,100,0.0024868985638022423,1.1348198652267456,0.0016108093550428748,100,0.0018121961038559675,0.45533880591392517,0.002294898498803377,100
